date,adj_close,30_mavg,26_ema,12_ema,MACD,Signal,Crossover,company
2004-07-06,31.8163108825684,29.56326313018799,29.51540870632092,30.271812910558385,0.7564042042374659,0.32866892468129666,0.42773527955616925,CCL
2004-07-07,31.7495651245117,29.711463737487797,29.598155240327987,30.385486157785564,0.7873309174575773,0.37453512395892474,0.4127957934986526,CCL
2004-07-08,31.2088184356689,29.8325159072876,29.65780943274802,30.448819409930437,0.7910099771824157,0.4161826092812739,0.37482736790114185,CCL
2004-07-09,31.0419292449951,29.936433982849124,29.709073129497913,30.49444324339695,0.7853701138990381,0.4531013597430504,0.3322687541559877,CCL
2004-07-12,31.1020183563232,30.037904548645024,29.760663693454404,30.541179790545126,0.7805160970907217,0.4858428334778175,0.2946732636129042,CCL
2004-07-13,30.848331451416,30.115342585245774,29.800947684490023,30.564806841381348,0.7638591568913249,0.5136444658191682,0.25021469107215666,CCL
2004-07-14,30.6413841247559,30.188552347819016,29.832074960055426,30.57069740164093,0.7386224415855054,0.536142263395802,0.20248017818970343,CCL
2004-07-15,30.5812873840332,30.265544827779138,29.8598235683509,30.571512015671107,0.7116884473202063,0.5536968817882424,0.15799156553196392,CCL
2004-07-16,30.4945163726807,30.34810034434001,29.883330709252004,30.565589273902617,0.6822585646506134,0.5665530500744795,0.11570551457613387,CCL
2004-07-19,30.4945163726807,30.438444582621262,29.90596721530492,30.56012212765478,0.6541549123498598,0.5753132363020176,0.0788416760478422,CCL
2004-07-20,30.6881122589111,30.524115943908694,29.934935550253297,30.569967522366802,0.6350319721135058,0.5812851098831664,0.05374686223033942,CCL
2004-07-21,30.3209476470947,30.58041381835938,29.949232294580757,30.550812147345876,0.6015798527651199,0.5833145841713617,0.01826526859375821,CCL
2004-07-22,30.2675380706787,30.626475842793788,29.961021397399197,30.529021833756094,0.5680004363568969,0.5817831693899153,-0.013782733033018357,CCL
2004-07-23,29.6333541870117,30.655181439717616,29.948885574792254,30.460124322468065,0.5112387476758116,0.5747287272185049,-0.06348997954269331,CCL
2004-07-26,29.3730163574219,30.669645945231125,29.927557085260016,30.37650063284913,0.4489435475891135,0.5621502092555657,-0.11320666166645221,CCL
2004-07-27,30.34765625,30.724164136250817,29.94311631358372,30.37428183416843,0.4311655205847096,0.5490517403884801,-0.11788621980377056,CCL
2004-07-28,30.754861831665,30.779126866658533,29.973180962401543,30.40355721859124,0.430376256189696,0.5371841919686017,-0.10680793577890568,CCL
2004-07-29,31.2221736907959,30.85055650075277,30.019439952342076,30.466527716453136,0.44708776411106044,0.5281745491828476,-0.08108678507178713,CCL
2004-07-30,31.1153621673584,30.8817097345988,30.060029664009345,30.516438058830467,0.4564083948211213,0.5209979337466749,-0.06458953892555364,CCL
2004-08-02,30.9818477630615,30.907522583007815,30.09417107508535,30.55223880530978,0.4580677302244318,0.5147049133944506,-0.05663718317001876,CCL
2004-08-03,30.481164932251,30.907967440287276,30.108504180906298,30.546771584305255,0.43826740339895665,0.5070611623949012,-0.06879375899594453,CCL
2004-08-04,30.481164932251,30.907745234171554,30.122306430956098,30.54172491876262,0.4194184878065208,0.49829689493606316,-0.07887840712954236,CCL
2004-08-05,29.6734218597412,30.8599027633667,30.105681076466656,30.474932375760975,0.3692512992943193,0.4853923353718888,-0.11614103607756948,CCL
2004-08-06,29.1059799194336,30.79003016153972,30.06865510768765,30.36962834065887,0.30097323297122003,0.46695042513182194,-0.16597719216060192,CCL
2004-08-09,28.9190711975098,30.709699694315596,30.02607792582921,30.2580470219551,0.23196909612589067,0.4434522922312288,-0.2114831961053381,CCL
2004-08-10,29.3730163574219,30.64294357299805,30.00189046033264,30.18996774006793,0.18807727973529254,0.4179147909816351,-0.22983751124634255,CCL
2004-08-11,29.1660709381104,30.569733874003095,29.970934181731813,30.11120644760966,0.14027226587784725,0.3901505384712563,-0.24987827259340906,CCL
2004-08-12,28.6720600128174,30.479612541198733,29.922827731031276,30.000502875702562,0.07767514467128578,0.3589029990912592,-0.28122785441997344,CCL
2004-08-13,28.9657897949219,30.38125756581625,29.887381881545746,29.920909561796353,0.03352768025060726,0.326365467207194,-0.29283778695658674,CCL
2004-08-16,29.3463153839111,30.2955867767334,29.867342381633353,29.876710009651333,0.009367628017979968,0.2946656832882726,-0.2852980552702926,CCL
2004-08-17,29.5999889373779,30.221709378560387,29.857440402216486,29.855423773322606,-0.0020166288938803234,0.26499745207005726,-0.2670140809639376,CCL
2004-08-18,29.8777961730957,30.159317080179854,29.858194319656455,29.857144727151308,-0.0010495925051472454,0.2383927476125368,-0.23944234011768403,CCL
2004-08-19,30.0585536956787,30.120974922180178,29.865615037286908,29.87263772473034,0.007022687443431153,0.2152557415956262,-0.20823305415219504,CCL
2004-08-20,29.9581298828125,30.084848276774093,29.869041513047115,29.879214044582813,0.01017253153569797,0.19474742058963337,-0.1845748890539354,CCL
2004-08-23,29.8577194213867,30.043371645609543,29.86862217631895,29.877560612029267,0.008938435710316384,0.17616652210170167,-0.16722808639138528,CCL
2004-08-24,29.8510303497314,30.010128275553388,29.867970627186082,29.875519822621737,0.0075491954356543545,0.15930478943509693,-0.15175559399944258,CCL
2004-08-25,30.2459964752197,29.99694868723552,29.881971584520663,29.904018026667735,0.022046442147072298,0.14557895470629445,-0.12353251255922215,CCL
2004-08-26,30.2928619384766,29.987334505716962,29.897189745778288,29.93392909680688,0.0367393510285936,0.13469499433852436,-0.09795564330993076,CCL
2004-08-27,30.3665065765381,29.98306751251221,29.914571850621243,29.967204287555436,0.05263243693419284,0.1264887385980912,-0.07385630166389837,CCL
2004-08-30,30.2794761657715,29.97589950561524,29.92808682525644,29.991225201264363,0.06313837600792382,0.12015370233907448,-0.057015326331150654,CCL
2004-08-31,30.6543865203857,29.97477531433106,29.954986813964933,30.042237610427545,0.08725079646261236,0.11686341175142827,-0.02961261528881591,CCL
2004-09-01,30.553955078125,29.982542228698733,29.97717082374864,30.081600492558117,0.1044296688094768,0.11562003745723312,-0.011190368647756327,CCL
2004-09-02,31.0962162017822,30.010164833068853,30.018616948860995,30.159647854806128,0.1410309059451329,0.1181611243060231,0.0228697816391098,CCL
2004-09-03,31.1029109954834,30.059150060017906,30.058775987624788,30.23220655793515,0.17343057031036224,0.12368806890645703,0.04974250140390521,CCL
2004-09-07,31.4443378448486,30.128194109598798,30.11009309344789,30.32544742615926,0.21535433271137094,0.13285469528694843,0.08249963742442251,CCL
2004-09-08,31.4175548553467,30.16385739644369,30.158517603147843,30.40945568994291,0.2509380867950668,0.1446630344377603,0.1062750523573065,CCL
2004-09-09,31.2367897033691,30.179921658833827,30.198453606859744,30.47309676789877,0.27464316103902675,0.15766104709788695,0.1169821139411398,CCL
2004-09-10,31.4175548553467,30.186434364318853,30.24360550495185,30.54574739001015,0.30214188505829753,0.17210913089392801,0.13003275416436952,CCL
2004-09-13,31.6116905212402,30.20297864278158,30.294275320369938,30.627743015489383,0.3334676951194453,0.18824498731647976,0.14522270780296553,CCL
2004-09-14,31.7522830963135,30.228659820556643,30.348275608367846,30.714246098629697,0.36597049026185147,0.2060175376110169,0.15995295265083456,CCL
2004-09-15,31.6451721191406,30.26746006011963,30.39630881247054,30.785855792515154,0.38954698004461363,0.22437048185437658,0.16517649819023705,CCL
2004-09-16,32.1673469543457,30.32366612752279,30.461902817725175,30.8921243434252,0.4302215257000235,0.2449555862389413,0.1852659394610822,CCL
2004-09-17,32.3414077758789,30.412598991394045,30.53151411247161,31.003607684383176,0.472093571911568,0.26766938480620395,0.20442418710536403,CCL
2004-09-20,31.8727798461914,30.504825655619307,30.581190621127895,31.07046708144535,0.48927646031745553,0.28983009235732915,0.19944636796012638,CCL
2004-09-21,32.3146171569824,30.618010520935062,30.64539160393732,31.16617093340974,0.5207793294724219,0.31292501606883844,0.20785431340358346,CCL
2004-09-22,32.0669250488281,30.70780747731527,30.698040990785127,31.235459711518846,0.5374187207337187,0.3353743865353265,0.20204433419839218,CCL
2004-09-23,32.0066680908203,30.80249404907227,30.746508661156803,31.294783433003577,0.5482747718467742,0.3566644250664712,0.19161034678030298,CCL
2004-09-24,32.0937080383301,30.916548983256025,30.796404934385443,31.356239171874847,0.5598342374894045,0.3769814063087646,0.18285283118063994,CCL
2004-09-27,31.9732036590576,31.01679611206055,30.839990072336263,31.403697978581214,0.5637079062449502,0.39565405630238315,0.168053849942567,CCL
2004-09-28,31.8593921661377,31.100565338134768,30.87774570544002,31.438751377624023,0.5610056721840024,0.4121892178905451,0.14881645429345736,CCL
2004-09-29,31.7255001068115,31.17141571044922,30.90914401660193,31.46080897217691,0.5516649555749815,0.4261367916589887,0.1255281639159928,CCL
2004-09-30,31.6585426330566,31.230773925781254,30.936899520915066,31.47601925378304,0.5391197328679738,0.4374350857798872,0.10168464708808655,CCL
2004-10-01,32.0267448425293,31.29638029734294,30.977264162456336,31.518382760609676,0.5411185981533393,0.44780343701723246,0.09331516113610683,CCL
2004-10-04,32.8234214782715,31.391890017191574,31.04564035933838,31.61877035427597,0.5731299949375916,0.46033609280926835,0.1127939021283233,CCL
2004-10-05,32.796630859375,31.489853731791182,31.110491859339735,31.709375008514357,0.5988831491746218,0.4741907984458037,0.12469235072881812,CCL
2004-10-06,32.8702697753906,31.59049504597982,31.175668819193472,31.798674605966376,0.6230057867729037,0.4890722972785137,0.13393348949439005,CCL
2004-10-07,32.7296943664551,31.673284975687668,31.2332253209439,31.870291510619357,0.6370661896754548,0.5038716865182078,0.133194503157247,CCL
2004-10-08,32.6694297790527,31.752503903706874,31.286418078651636,31.931763685114227,0.6453456064625911,0.5180190785126462,0.12732652794994492,CCL
2004-10-11,32.6895179748535,31.829937616984054,31.338384741473927,31.990052476632634,0.651667735158707,0.5313839441772522,0.12028379098145481,CCL
2004-10-12,32.4752883911133,31.90313135782878,31.38049228405316,32.02737831620807,0.6468860321549101,0.542934152975018,0.10395187917989213,CCL
2004-10-13,32.441822052002,31.962712542215986,31.419800793977192,32.059258603576836,0.6394578095996444,0.5525865186374807,0.08687129096216373,CCL
2004-10-14,32.7163047790527,32.03479086558024,31.4678194600911,32.10980061707498,0.6419811569838814,0.5615259824721207,0.08045517451176065,CCL
2004-10-15,32.789924621582,32.09124781290691,31.516786317924097,32.16211784819091,0.6453315302668123,0.5699065372515899,0.07542499301522243,CCL
2004-10-18,32.9037322998047,32.151275189717616,31.56815468762338,32.21916511369966,0.6510104260762795,0.5780169261340589,0.0729934999422206,CCL
2004-10-19,32.6828193664551,32.192557907104494,31.609438564617147,32.25483082545008,0.6453922608329314,0.5847544596039461,0.06063780122898532,CCL
2004-10-20,33.2987213134766,32.25526345570883,31.672004592352682,32.33513009375981,0.6631255014071264,0.5925915637842641,0.07053393762286231,CCL
2004-10-21,33.0376281738281,32.31529140472413,31.72258324351844,32.389168407611216,0.6665851640927762,0.5999909238151153,0.06659424027766092,CCL
2004-10-22,32.917121887207,32.365276972452804,31.766825415506904,32.42978021373397,0.6629547982270658,0.6062873112563104,0.05666748697075541,CCL
2004-10-25,33.5263252258301,32.42909812927247,31.831992075148506,32.51412983004905,0.6821377549005447,0.6138723556207338,0.0682653992798109,CCL
2004-10-26,33.7807197570801,32.496712684631355,31.904167174479305,32.61155982443605,0.7073926499567449,0.623224385054335,0.08416826490240992,CCL
2004-10-27,33.8476638793945,32.570129076639816,31.976148533920608,32.70664475174054,0.7304962178199332,0.6339515683308948,0.0965446494890384,CCL
2004-10-28,33.9146118164062,32.6283712387085,32.047943470308965,32.79956529517636,0.7516218248673923,0.6457185939845446,0.1059032308828477,CCL
2004-10-29,33.8476638793945,32.67857977549235,32.114599781756574,32.88018826319313,0.7655884814365592,0.657705582729746,0.10788289870681322,CCL
2004-11-01,34.1422348022461,32.75422827402751,32.18969737510804,32.977268766197206,0.7875713910891662,0.6706921635656881,0.11687922752347812,CCL
2004-11-02,34.5707015991211,32.82943108876547,32.277882716738155,33.09984052257597,0.8219578058378119,0.6858187277929004,0.13613907804491143,CCL
2004-11-03,34.8116798400879,32.92092291514079,32.37172705464,33.23152047007688,0.8597934154368829,0.7032161965572986,0.1565772188795843,CCL
2004-11-04,35.1932830810547,33.02714341481527,32.47622912969239,33.38242528630594,0.9061961566135466,0.7235141925629235,0.1826819640506231,CCL
2004-11-05,35.146411895752,33.12890021006267,32.5751247876946,33.51811656395564,0.9429917762610387,0.745461950932735,0.19752982532830365,CCL
2004-11-08,34.5773773193359,33.21570599873861,32.6492822888665,33.59959816052334,0.9503158716568407,0.7659473430051457,0.18436852865169506,CCL
2004-11-09,34.9255027770996,33.31790968577068,32.73358675139365,33.7015908233369,0.9680040719432483,0.7861530158989559,0.18185105604429241,CCL
2004-11-10,35.2133674621582,33.4341719309489,32.82543048142197,33.81788133401546,0.9924508525934925,0.8067827995684095,0.18566805302508305,CCL
2004-11-11,35.4811210632324,33.56159121195476,32.923789391859394,33.945822851647534,1.0220334597881404,0.8283078655903826,0.1937255941977578,CCL
2004-11-12,35.9163017272949,33.69124310811362,33.03462318206071,34.09739814977426,1.062774967713544,0.8517545758026988,0.21102039191084532,CCL
2004-11-15,35.2267570495605,33.77135429382325,33.115813325301446,34.18427191129627,1.0684585859948257,0.8734249768219114,0.19503360917291424,CCL
2004-11-16,34.8451614379883,33.839638646443696,33.17986325540095,34.23510956719566,1.0552463117947042,0.8916071103191908,0.16363920147551336,CCL
2004-11-17,34.6571769714355,33.89920221964519,33.23457857821705,34.26757629059872,1.0329977123816718,0.9057461705254389,0.12725154185623289,CCL
2004-11-18,34.5833320617676,33.960990142822276,33.28453241094114,34.291865196073246,1.0073327851321068,0.9159048319861056,0.09142795314600116,CCL
2004-11-19,34.1737785339355,34.01113510131837,33.31746745253353,34.282781606678036,0.965314154144508,0.9208457642019459,0.04446838994256219,CCL
2004-11-22,34.039493560791,34.05613428751629,33.34420916024677,34.2640671416098,0.9198579813630303,0.9207469859180543,-0.0008890045550239423,CCL
2004-11-23,34.892162322998,34.136696751912446,33.401540758867185,34.31238215556274,0.9108413966955524,0.9197564269958041,-0.008915030300251647,CCL
2004-11-24,35.6374015808105,34.24321606953939,33.48435041893916,34.41430672673564,0.9299563077964805,0.9207764150758716,0.009179892720608929,CCL
2004-11-26,35.4964065551758,34.335886128743496,33.55887101657755,34.497545175077185,0.9386741584996372,0.9225661894182481,0.016107969081389117,CCL
2004-11-29,35.697826385498,34.432816187540695,33.63809158579683,34.58987449895571,0.9517829131588798,0.9254878617923112,0.02629505136656851,CCL
2004-11-30,35.5904083251953,34.522372055053715,33.710399613181956,34.66683863943568,0.9564390262537259,0.9285829782384526,0.027856048015273305,CCL
2004-12-01,36.1543655395508,34.638090260823574,33.800916869714136,34.781263785598384,0.9803469158842475,0.9337593720030322,0.04658754388121533,CCL
2004-12-02,36.4632110595703,34.74357325236004,33.89952035822733,34.910644345134685,1.0111239869073572,0.9414958334934648,0.06962815341389239,CCL
2004-12-03,36.6713447570801,34.86469713846843,34.0021805211478,35.04608283836125,1.0439023172134512,0.9517364818654634,0.09216583534798772,CCL
2004-12-06,36.9734649658203,34.99990857442221,34.1122280931727,35.19434300201195,1.0821149088392445,0.9647743245628415,0.11734058427640304,CCL
2004-12-07,36.7586135864258,35.107651519775395,34.21024237070059,35.31467150850532,1.104429137804729,0.9787398058870301,0.12568933191769893,CCL
2004-12-08,36.7720527648926,35.207362620035816,34.30512423715214,35.42677775899664,1.1216535218445003,0.9930311774827771,0.12862234436172315,CCL
2004-12-09,36.6377830505371,35.30036659240724,34.39151900801825,35.519932012192065,1.1284130041738152,1.006569360151881,0.12184364402193415,CCL
2004-12-10,36.6914939880371,35.392929331461595,34.47670326653746,35.610052164180146,1.1333488976426835,1.0192473139009612,0.1141015837417223,CCL
2004-12-13,37.1010437011719,35.50137532552084,34.57390106041281,35.724743820871815,1.1508427604590068,1.0324068585567656,0.11843590190224118,CCL
2004-12-14,37.1950340270996,35.60313529968263,34.67098005917899,35.83784306750472,1.166863008325734,1.0458524735336625,0.12101053479207158,CCL
2004-12-15,36.8257675170898,35.67830416361492,34.75078700206458,35.91383725593434,1.1630502538697627,1.0575722515672725,0.10547800230249016,CCL
2004-12-16,37.4770278930664,35.7671490987142,34.8517588869165,36.03408268955988,1.1823238026433813,1.0700474066748835,0.11227639596849781,CCL
2004-12-17,37.9201354980469,35.858044179280604,34.965402465106514,36.17916367482812,1.2137612097216035,1.0844187869795554,0.1293424227420481,CCL
2004-12-20,38.2356834411621,35.96101989746094,35.0865239827382,36.33735750300766,1.2508335202694596,1.1010602603085458,0.14977325996091384,CCL
2004-12-21,38.5378150939941,36.09303448994955,35.21434957945138,36.506623471545076,1.2922738920936965,1.1201816234870607,0.17209226860663573,CCL
2004-12-22,38.8869247436523,36.225081888834644,35.35037088182919,36.689723569399476,1.3393526875702833,1.142098729895383,0.19725395767490017,CCL
