142;CVS;CVS Health;https://en.wikipedia.org/wiki/CVS_Health;Health Care;Health Care Services
143;DHI;D. R. Horton;https://en.wikipedia.org/wiki/D._R._Horton;Consumer Discretionary;Homebuilding
144;DHR;Danaher Corp.;https://en.wikipedia.org/wiki/Danaher_Corp.;Health Care;Health Care Equipment
145;DRI;Darden Restaurants;https://en.wikipedia.org/wiki/Darden_Restaurants;Consumer Discretionary;Restaurants
146;DVA;DaVita Inc.;https://en.wikipedia.org/wiki/DaVita_Inc.;Health Care;Health Care Facilities
147;DE;Deere & Co.;https://en.wikipedia.org/wiki/Deere_%26_Co.;Industrials;Agricultural & Farm Machinery
148;DAL;Delta Air Lines Inc.;https://en.wikipedia.org/wiki/Delta_Air_Lines_Inc.;Industrials;Airlines
149;XRAY;Dentsply Sirona;https://en.wikipedia.org/wiki/Dentsply_Sirona;Health Care;Health Care Supplies
150;DVN;Devon Energy;https://en.wikipedia.org/wiki/Devon_Energy;Energy;Oil & Gas Exploration & Production
151;FANG;Diamondback Energy;https://en.wikipedia.org/wiki/Diamondback_Energy;Energy;Oil & Gas Exploration & Production
152;DLR;Digital Realty Trust Inc;https://en.wikipedia.org/wiki/Digital_Realty_Trust;Real Estate;Specialized REITs
153;DFS;Discover Financial Services;https://en.wikipedia.org/wiki/Discover_Financial_Services;Financials;Consumer Finance
154;DISCA;Discovery Inc. Class A;https://en.wikipedia.org/wiki/Discovery,_Inc.;Communication Services;Broadcasting
155;DISCK;Discovery Inc. Class C;https://en.wikipedia.org/wiki/Discovery,_Inc.;Communication Services;Broadcasting
156;DISH;Dish Network;https://en.wikipedia.org/wiki/Dish_Network;Communication Services;Cable & Satellite
157;DG;Dollar General;https://en.wikipedia.org/wiki/Dollar_General;Consumer Discretionary;General Merchandise Stores
158;DLTR;Dollar Tree;https://en.wikipedia.org/wiki/Dollar_Tree;Consumer Discretionary;General Merchandise Stores
159;D;Dominion Energy;https://en.wikipedia.org/wiki/Dominion_Energy;Utilities;Electric Utilities
160;DOV;Dover Corp.;https://en.wikipedia.org/wiki/Dover_Corp.;Industrials;Industrial Machinery
161;DOW;Dow Inc.;https://en.wikipedia.org/wiki/Dow_Inc.;Materials;Commodity Chemicals
162;DTE;DTE Energy Co.;https://en.wikipedia.org/wiki/DTE_Energy_Co.;Utilities;Multi-Utilities
163;DUK;Duke Energy;https://en.wikipedia.org/wiki/Duke_Energy;Utilities;Electric Utilities
164;DRE;Duke Realty Corp;https://en.wikipedia.org/wiki/Duke_Realty_Corp;Real Estate;Industrial REITs
165;DD;DuPont de Nemours Inc;https://en.wikipedia.org/wiki/DuPont_de_Nemours_Inc;Materials;Specialty Chemicals
166;DXC;DXC Technology;https://en.wikipedia.org/wiki/DXC_Technology;Information Technology;IT Consulting & Other Services
167;ETFC;E*Trade;https://en.wikipedia.org/wiki/E*Trade;Financials;Investment Banking & Brokerage
168;EMN;Eastman Chemical;https://en.wikipedia.org/wiki/Eastman_Chemical;Materials;Diversified Chemicals
169;ETN;Eaton Corporation;https://en.wikipedia.org/wiki/Eaton_Corporation;Industrials;Electrical Components & Equipment
170;EBAY;eBay Inc.;https://en.wikipedia.org/wiki/EBay_Inc.;Consumer Discretionary;Internet & Direct Marketing Retail
171;ECL;Ecolab Inc.;https://en.wikipedia.org/wiki/Ecolab_Inc.;Materials;Specialty Chemicals
172;EIX;Edison Int'l;https://en.wikipedia.org/wiki/Edison_Int%27l;Utilities;Electric Utilities
173;EW;Edwards Lifesciences;https://en.wikipedia.org/wiki/Edwards_Lifesciences;Health Care;Health Care Equipment
174;EA;Electronic Arts;https://en.wikipedia.org/wiki/Electronic_Arts;Communication Services;Interactive Home Entertainment
175;EMR;Emerson Electric Company;https://en.wikipedia.org/wiki/Emerson_Electric_Company;Industrials;Electrical Components & Equipment
176;ETR;Entergy Corp.;https://en.wikipedia.org/wiki/Entergy_Corp.;Utilities;Electric Utilities
177;EOG;EOG Resources;https://en.wikipedia.org/wiki/EOG_Resources;Energy;Oil & Gas Exploration & Production
178;EFX;Equifax Inc.;https://en.wikipedia.org/wiki/Equifax_Inc.;Industrials;Research & Consulting Services
179;EQIX;Equinix;https://en.wikipedia.org/wiki/Equinix;Real Estate;Specialized REITs
180;EQR;Equity Residential;https://en.wikipedia.org/wiki/Equity_Residential;Real Estate;Residential REITs
181;ESS;Essex Property Trust, Inc.;https://en.wikipedia.org/wiki/Essex_Property_Trust,_Inc.;Real Estate;Residential REITs
182;EL;Estee Lauder Cos.;https://en.wikipedia.org/wiki/Estee_Lauder_Cos.;Consumer Staples;Personal Products
183;EVRG;Evergy;https://en.wikipedia.org/wiki/Evergy;Utilities;Electric Utilities
184;ES;Eversource Energy;https://en.wikipedia.org/wiki/Eversource_Energy;Utilities;Multi-Utilities
185;RE;Everest Re Group Ltd.;https://en.wikipedia.org/wiki/Everest_Re;Financials;Reinsurance
186;EXC;Exelon Corp.;https://en.wikipedia.org/wiki/Exelon_Corp.;Utilities;Multi-Utilities
187;EXPE;Expedia Group;https://en.wikipedia.org/wiki/Expedia_Group;Consumer Discretionary;Internet & Direct Marketing Retail
188;EXPD;Expeditors;https://en.wikipedia.org/wiki/Expeditors_International;Industrials;Air Freight & Logistics
189;EXR;Extra Space Storage;https://en.wikipedia.org/wiki/Extra_Space_Storage;Real Estate;Specialized REITs
190;XOM;Exxon Mobil Corp.;https://en.wikipedia.org/wiki/Exxon_Mobil_Corp.;Energy;Integrated Oil & Gas
191;FFIV;F5 Networks;https://en.wikipedia.org/wiki/F5_Networks;Information Technology;Communications Equipment
192;FB;Facebook, Inc.;https://en.wikipedia.org/wiki/Facebook,_Inc.;Communication Services;Interactive Media & Services
193;FAST;Fastenal Co;https://en.wikipedia.org/wiki/Fastenal_Co;Industrials;Building Products
194;FRT;Federal Realty Investment Trust;https://en.wikipedia.org/wiki/Federal_Realty_Investment_Trust;Real Estate;Retail REITs
195;FDX;FedEx Corporation;https://en.wikipedia.org/wiki/FedEx_Corporation;Industrials;Air Freight & Logistics
196;FIS;Fidelity National Information Services;https://en.wikipedia.org/wiki/Fidelity_National_Information_Services;Information Technology;Data Processing & Outsourced Services
197;FITB;Fifth Third Bancorp;https://en.wikipedia.org/wiki/Fifth_Third_Bancorp;Financials;Regional Banks
198;FE;FirstEnergy Corp;https://en.wikipedia.org/wiki/FirstEnergy_Corp;Utilities;Electric Utilities
199;FRC;First Republic Bank;https://en.wikipedia.org/wiki/First_Republic_Bank;Financials;Regional Banks
200;FISV;Fiserv Inc;https://en.wikipedia.org/wiki/Fiserv_Inc;Information Technology;Data Processing & Outsourced Services
201;FLT;FleetCor Technologies Inc;https://en.wikipedia.org/wiki/Fleetcor;Information Technology;Data Processing & Outsourced Services
202;FLIR;FLIR Systems;https://en.wikipedia.org/wiki/FLIR_Systems;Information Technology;Electronic Equipment & Instruments
203;FLS;Flowserve Corporation;https://en.wikipedia.org/wiki/Flowserve_Corporation;Industrials;Industrial Machinery
204;FMC;FMC Corporation;https://en.wikipedia.org/wiki/FMC_Corporation;Materials;Fertilizers & Agricultural Chemicals
205;F;Ford Motor;https://en.wikipedia.org/wiki/Ford_Motor;Consumer Discretionary;Automobile Manufacturers
206;FTNT;Fortinet;https://en.wikipedia.org/wiki/Fortinet;Information Technology;Systems Software
207;FTV;Fortive Corp;https://en.wikipedia.org/wiki/Fortive_Corp;Industrials;Industrial Machinery
208;FBHS;Fortune Brands Home & Security;https://en.wikipedia.org/wiki/Fortune_Brands_Home_%26_Security;Industrials;Building Products
209;FOXA;Fox Corporation Class A;https://en.wikipedia.org/wiki/Fox_Corporation_Class_A;Communication Services;Movies & Entertainment
210;FOX;Fox Corporation Class B;https://en.wikipedia.org/wiki/Fox_Corporation_Class_B;Communication Services;Movies & Entertainment
211;BEN;Franklin Resources;https://en.wikipedia.org/wiki/Franklin_Resources;Financials;Asset Management & Custody Banks
212;FCX;Freeport-McMoRan Inc.;https://en.wikipedia.org/wiki/Freeport-McMoRan_Inc.;Materials;Copper
213;GPS;Gap Inc.;https://en.wikipedia.org/wiki/Gap_Inc.;Consumer Discretionary;Apparel Retail
214;GRMN;Garmin Ltd.;https://en.wikipedia.org/wiki/Garmin_Ltd.;Consumer Discretionary;Consumer Electronics
215;IT;Gartner Inc;https://en.wikipedia.org/wiki/Gartner;Information Technology;IT Consulting & Other Services
216;GD;General Dynamics;https://en.wikipedia.org/wiki/General_Dynamics;Industrials;Aerospace & Defense
217;GE;General Electric;https://en.wikipedia.org/wiki/General_Electric;Industrials;Industrial Conglomerates
218;GIS;General Mills;https://en.wikipedia.org/wiki/General_Mills;Consumer Staples;Packaged Foods & Meats
219;GM;General Motors;https://en.wikipedia.org/wiki/General_Motors;Consumer Discretionary;Automobile Manufacturers
220;GPC;Genuine Parts;https://en.wikipedia.org/wiki/Genuine_Parts;Consumer Discretionary;Specialty Stores
221;GILD;Gilead Sciences;https://en.wikipedia.org/wiki/Gilead_Sciences;Health Care;Biotechnology
222;GL;Globe Life Inc.;https://en.wikipedia.org/wiki/Torchmark_Corp.;Financials;Life & Health Insurance
223;GPN;Global Payments Inc.;https://en.wikipedia.org/wiki/Global_Payments_Inc.;Information Technology;Data Processing & Outsourced Services
224;GS;Goldman Sachs Group;https://en.wikipedia.org/wiki/Goldman_Sachs_Group;Financials;Investment Banking & Brokerage
225;GWW;Grainger (W.W.) Inc.;https://en.wikipedia.org/wiki/Grainger_(W.W.)_Inc.;Industrials;Industrial Machinery
226;HAL;Halliburton Co.;https://en.wikipedia.org/wiki/Halliburton_Co.;Energy;Oil & Gas Equipment & Services
227;HBI;Hanesbrands Inc;https://en.wikipedia.org/wiki/Hanesbrands_Inc;Consumer Discretionary;Apparel, Accessories & Luxury Goods
228;HOG;Harley-Davidson;https://en.wikipedia.org/wiki/Harley-Davidson;Consumer Discretionary;Motorcycle Manufacturers
229;HIG;Hartford Financial Svc.Gp.;https://en.wikipedia.org/wiki/Hartford_Financial_Svc.Gp.;Financials;Property & Casualty Insurance
230;HAS;Hasbro Inc.;https://en.wikipedia.org/wiki/Hasbro_Inc.;Consumer Discretionary;Leisure Products
231;HCA;HCA Healthcare;https://en.wikipedia.org/wiki/HCA_Healthcare;Health Care;Health Care Facilities
232;HCP;HCP Inc.;https://en.wikipedia.org/wiki/HCP_Inc.;Real Estate;Health Care REITs
233;HP;Helmerich & Payne;https://en.wikipedia.org/wiki/Helmerich_%26_Payne;Energy;Oil & Gas Drilling
234;HSIC;Henry Schein;https://en.wikipedia.org/wiki/Henry_Schein;Health Care;Health Care Distributors
235;HSY;The Hershey Company;https://en.wikipedia.org/wiki/The_Hershey_Company;Consumer Staples;Packaged Foods & Meats
236;HES;Hess Corporation;https://en.wikipedia.org/wiki/Hess_Corporation;Energy;Integrated Oil & Gas
237;HPE;Hewlett Packard Enterprise;https://en.wikipedia.org/wiki/Hewlett_Packard_Enterprise;Information Technology;Technology Hardware, Storage & Peripherals
238;HLT;Hilton Worldwide Holdings Inc;https://en.wikipedia.org/wiki/Hilton_Worldwide_Holdings_Inc;Consumer Discretionary;Hotels, Resorts & Cruise Lines
239;HFC;HollyFrontier Corp;https://en.wikipedia.org/wiki/HollyFrontier;Energy;Oil & Gas Refining & Marketing
240;HOLX;Hologic;https://en.wikipedia.org/wiki/Hologic;Health Care;Health Care Equipment
241;HD;Home Depot;https://en.wikipedia.org/wiki/Home_Depot;Consumer Discretionary;Home Improvement Retail
