date,adj_close,20_ma,20_sd,Upper_Band,Lower_Band,company
2000-09-18,26.3037166595459,30.8822925567627,2.381513110847392,35.64531877845749,26.119266335067916,AVY
2000-09-19,26.1155681610107,30.527493572235112,2.5395718049131895,35.60663718206149,25.448349962408734,AVY
2000-09-20,26.4918823242188,30.18963766098023,2.607031985321591,35.40370163162341,24.97557369033705,AVY
2000-09-21,26.6800231933594,29.87429380416871,2.6321852037589997,35.13866421168671,24.609923396650707,AVY
2000-09-22,26.7552852630615,29.553351783752447,2.5997857027989957,34.75292318935044,24.353780378154454,AVY
2000-09-25,26.7929134368896,29.234291172027593,2.5224554782097304,34.279202128447054,24.189380215608132,AVY
2000-09-26,26.9434471130371,28.926502132415777,2.3985565817796526,33.72361529597508,24.12938896885647,AVY
2000-09-27,26.8681831359863,28.62992658615113,2.2569695579456788,33.14386570204249,24.11598747025977,AVY
2000-09-28,27.6960411071777,28.387848949432378,2.0674745233495533,32.52279799613149,24.252899902733272,AVY
2000-09-29,27.9218349456787,28.164549636840825,1.84154835590394,31.847646348648706,24.481452925032944,AVY
2000-10-02,28.0723533630371,27.976396751403815,1.62642573742728,31.229248226258374,24.723545276549256,AVY
2000-10-03,28.4110260009766,27.795769882202155,1.3261891667641703,30.448148215730495,25.143391548673815,AVY
2000-10-04,28.3733978271484,27.65277423858643,1.0643700510382916,29.781514340663016,25.524034136509847,AVY
2000-10-05,27.620792388916,27.534238338470466,0.911190931522062,29.35662020151459,25.71185647542634,AVY
2000-10-06,28.109992980957,27.47967510223389,0.8356562584285548,29.150987619091,25.80836258537678,AVY
2000-10-09,29.3517894744873,27.521068191528325,0.9075179355805439,29.33610406268941,25.70603232036724,AVY
2000-10-10,28.2605209350586,27.49660892486573,0.8787988508930836,29.254206626651897,25.73901122307956,AVY
2000-10-11,27.8465709686279,27.462741088867194,0.849693751943393,29.16212859275398,25.763353584980408,AVY
2000-10-12,26.8305377960205,27.42134733200074,0.8597654098756373,29.140878151752013,25.701816512249465,AVY
2000-10-13,26.717658996582,27.408176803588873,0.8688346140576981,29.14584603170427,25.670507575473476,AVY
2000-10-16,27.507905960083,27.468386268615728,0.8290834586397267,29.12655318589518,25.810219351336276,AVY
2000-10-17,26.0779285430908,27.466504287719733,0.83235219214415,29.131208672008032,25.801799903431434,AVY
2000-10-18,27.5831565856934,27.521068000793463,0.8002489439895878,29.12156588877264,25.920570112814286,AVY
2000-10-19,28.2228775024414,27.598210716247564,0.7891944364620854,29.176599589171737,26.019821843323392,AVY
2000-10-20,27.1315937042236,27.61702613830567,0.7723462894749319,29.161718717255532,26.072333559355805,AVY
2000-10-23,26.3789672851562,27.596328830719,0.8006220422057349,29.19757291513047,25.99508474630753,AVY
2000-10-24,26.3789672851562,27.568104839324956,0.8340989514810987,29.236302742287155,25.899906936362758,AVY
2000-10-25,27.7713012695312,27.613260746002204,0.8185133325815938,29.25028741116539,25.976234080839017,AVY
2000-10-26,28.5239276885986,27.654655075073247,0.8434736859596065,29.34160244699246,25.967707703154034,AVY
2000-10-27,29.0507431030273,27.71110048294068,0.8982868003029847,29.50767408354665,25.91452688233471,AVY
2000-10-30,30.4807071685791,27.83151817321778,1.0901876584837324,30.011893490185244,25.651142856250317,AVY
2000-10-31,30.4054374694824,27.93123874664307,1.228435480161205,30.38810970696548,25.474367786320663,AVY
2000-11-01,30.3301906585693,28.029078388214117,1.33849944583409,30.706077279882297,25.352079496545937,AVY
2000-11-02,30.4430770874023,28.170192623138433,1.4382456835720512,31.046683990282535,25.293701255994332,AVY
2000-11-03,30.5183353424072,28.290609741210943,1.5307825117376979,31.35217476468634,25.229044717735547,AVY
2000-11-06,30.5183353424072,28.34893703460694,1.5942532376832712,31.537443509973482,25.1604305592404,AVY
2000-11-07,30.6312217712402,28.467472076416023,1.673496488148856,31.814465052713736,25.12047910011831,AVY
